hidden_size,batch_size,learning_rate,val_loss,test_loss,test_acc
256,32,0.0001,0.08128331339034361,0.06937336546554677,97.81
256,128,0.001,0.0822500555740693,0.07194573960754773,97.8
128,128,0.001,0.08585292762263289,0.07486009038911096,97.84
128,32,0.0001,0.09406788033335067,0.08038100092329632,97.56
128,32,0.001,0.09727807385797134,0.08762990183884296,97.7
256,32,0.001,0.10010391084796982,0.09183375893005,97.93
64,128,0.001,0.10031950693353539,0.09047000235553737,97.17
256,128,0.0001,0.10658974761638461,0.09303857429141674,97.31
64,32,0.001,0.11031434127249005,0.09666884761610184,97.57
64,32,0.0001,0.13082195106988992,0.11430804056529038,96.66
128,128,0.0001,0.1335015208755113,0.11664191953826082,96.6
256,128,0.01,0.17413632543403892,0.17075470604313409,95.53
128,128,0.01,0.18327785420078266,0.1554572551906893,95.24
64,128,0.0001,0.1882744914368738,0.1676557500834895,95.09
64,128,0.01,0.19830471102761316,0.1699034380962294,96.1
128,32,0.01,0.25173915764495447,0.22772053962784666,94.35
64,32,0.01,0.28530632473041895,0.27053867414714206,93.75
256,32,0.01,0.2945360688599773,0.2581230381967875,94.16
